,image_id,path,class_id,is_train
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18,1,0
1,2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34,1,1
2,3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55,1,0
3,4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59,1,1
4,5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89,1,1
5,6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92,1,0
6,7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100,1,1
7,8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103,1,1
8,9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097,1,1
9,10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057,1,0
10,11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059,1,1
11,12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062,1,0
12,13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063,1,0
13,14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065,1,0
14,15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066,1,1
15,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067,1,0
16,17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068,1,0
17,18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069,1,1
18,19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071,1,0
19,20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170,1,1
20,21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076,1,1
21,22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077,1,0
22,23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078,1,1
23,24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082,1,0
24,25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083,1,0
25,26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086,1,0
26,27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089,1,0
27,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090,1,0
28,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095,1,0
29,30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096,1,1
30,31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064,1,1
31,32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098,1,1
32,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101,1,0
33,34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417,1,0
34,35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104,1,1
35,36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106,1,1
36,37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108,1,1
37,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109,1,0
38,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111,1,0
39,40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113,1,1
40,41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114,1,1
41,42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115,1,1
42,43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212,1,1
43,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120,1,0
44,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121,1,0
45,46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122,1,1
46,47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125,1,0
47,48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126,1,0
48,49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127,1,1
49,50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129,1,0
50,51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132,1,1
51,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133,1,0
52,53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135,1,1
53,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136,1,0
54,55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138,1,1
